Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Chile,CHL,..,5549435860705.91,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Colombia,COL,..,36928800000000,366011636523000,428728531114000,577932012673267,614204965531735,707757884359465,770710551554504,910172284929547,958480011850767,1.03091411198434E+15,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Congo, Dem. Rep.",COD,64.8972,..,..,..,..,..,..,..,..,..,21116586200000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Costa Rica,CRI,..,1781500000000,..,..,..,..,..,..,..,..,31865119130358,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Croatia,HRV,..,8205986000,41783857000,43947954000,44356039000,43159734000,43641441000,44848837000,49955228000,53156313000,56120677000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Cyprus,CYP,3782357127.58505,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
