Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Botswana,BWA,3331456029.64818,6318214000.31791,8322771529.48769,7546144960.24368,7188821774.82296,7490512373.36878,6656913637.84624,6170221067.31238,4940893802.78156,4801608912.27109,4278950590.03447,4755831848.94263
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Brazil,BRA,9997591007.59699,33015297295.6899,363570226084.661,356464980327.488,364984039092.456,373955518686.487,374709673447.828,356886386911.979,355614251456.14,362210079181.317,324673449781.4,355021395541.562
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Brunei Darussalam,BRN,..,408340574.417856,3648818757.27273,3366322585.18654,3487053368.54429,3488124299.73021,3407126454.77295,4272696957.80614,3997356505.31302,4982141345.7678,5034739047.43322,4482741926.02546
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Bulgaria,BGR,..,3507198891.18447,20129698078.3467,22153050488.9052,25176065815.9197,28375830876.2926,28711039864.6649,27901750798.6159,37860001348.6185,39187742752.2235,40989114449.5133,46333887862.1794
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Burundi,BDI,111668438.445462,37646865.1651183,317139256.456431,136134382.176262,95158477.5306259,97402580.4255521,68126200.7714545,111373704.053543,90319165.5391625,266164087.470182,158530300.559317,90349885.1781753
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cabo Verde,CPV,76969365.0466756,28196818.8690417,510930777.488313,494495560.716106,572736752.547996,617362329.826463,606003781.270023,737990665.417386,735084797.415375,769650450.739642,729566303.824111,837880565.130438
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cambodia,KHM,..,611415267.593156,6108231224.38956,7375682885.24626,9113957299.04389,12201741896.4868,14630894025.9984,18771430900.2127,21328475092.6612,20269721097.822,17801364792.3965,19983916474.9418
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cameroon,CMR,37075058.9640231,220219413.043293,3168216856.18041,3536255065.98645,2225708778.07818,3196791410.74604,3459329760.96426,3720172167.11585,3961753887.41141,4299788713.29081,5133480338.41129,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Canada,CAN,23529517647.2095,32427268296.4522,74699962252.5789,79753521149.8993,82718110857.6299,86677706696.7064,83925602808.0082,85297110783.6887,90428136419.3486,106615119570.101,106952377364.743,117550899244.64
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cayman Islands,CYM,..,..,..,..,..,..,162073506,183500000,216800000,228300000,225400000,234000000
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Central African Republic,CAF,122909404.284403,136311955.642756,259571697.529109,213800567.288047,239797985.500412,362717270.49893,361797180.317652,350305401.8215,432524260.923722,483872115.778418,374404781.268039,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Chad,TCD,132064062.902088,113752750.287429,1075906114.58729,368916823.816674,8184292.08845216,8575237.41520014,147750165.909777,310032032.850238,390675163.109219,211590754.917343,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Chile,CHL,6783811633.49504,15055115211.0232,40447379051.6687,38641176606.0315,40493293729.5297,38981539753.7984,39858824174.8114,40655524238.3282,39166118109.4101,51252167799.6881,39102338845.0328,46377347796.8251
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,China,CHN,34475661158.6121,171763098225.843,3900039302991.09,3405253363888.14,3097658421378.4,3235681607213.04,3168216331199.08,3222894578036.36,3357240875433.71,3427931394628.85,3306839412813.78,3449544415518.98
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Colombia,COL,4868520136.43283,9005870484.66315,46809443348.4249,46222893468.525,46173772892.6654,47131104746.7563,47887623364.3511,52652707434.7902,58499477956.7248,58018679406.6873,56703971712.5605,59040690523.7904
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Comoros,COM,29914188.6473735,43370718.713776,171159502.43982,200562427.653927,159412124.098012,207879895.509358,199213183.261238,202031707.232998,294339897.88933,329671751.96892,283746116.067475,324560634.116795
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Congo, Dem. Rep.",COD,260650000,82500000,1556982977.84139,1215934551.45168,708160749.155332,695398161.997957,665272094.992908,1194373484.64689,747655324.338114,3467115960.59408,4378100481.59101,5104181646.5526
