Country Name,Value,quarter
United States,9.92953894064227,Q2-2018
United States,9.92953894064227,Q3-2018
United States,9.92953894064227,Q4-2018
United States,9.88582534562935,Q1-2019
United States,9.88582534562935,Q2-2019
United States,9.88582534562935,Q3-2019
United States,9.88582534562935,Q4-2019
United States,10.1963046449383,Q1-2020
United States,10.1963046449383,Q2-2020
United States,10.1963046449383,Q3-2020
United States,10.1963046449383,Q4-2020
United States,11.2588258410025,Q1-2021
United States,11.2588258410025,Q2-2021
United States,11.2588258410025,Q3-2021
United States,11.2588258410025,Q4-2021
United States,12.0548329244866,Q1-2022
United States,12.0548329244866,Q2-2022
United States,12.0548329244866,Q3-2022
United States,12.0548329244866,Q4-2022
United States,10.2238066854639,Q1-2023
United States,10.2238066854639,Q2-2023
United States,10.2238066854639,Q3-2023
United States,10.2238066854639,Q4-2023
